clarity,timepoint,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,amp_p0,freq_p0,p0prominence,a1p0,a3p0,vwl_amp_rms,vwl_duration,appendix_dur,Label
clear,3,327,52.52,378,828,44.2,70,2069,5.13,689,52.52,215,13.29,0,-47.3949,0.114020038,173,0.025,0
clear,3,267,52.48,625,1177,28.15,430,2032,8.49,1348,52.48,194,17.08,0,-43.99383,0.099352812,147,0.075,0
clear,3,273,55.34,133,1148,26.55,395,2077,4.83,1885,55.34,215,11.89,0,-50.50519,0.09251912,160,0.061,0
clear,3,653,46.83,901,839,46.83,127,3598,10.06,126,53.45,215,10.06,-6.62,-43.3885,0.090041785,157,0.013,0
clear,3,234,54.68,77,1198,19.82,1154,2144,8.72,488,54.68,215,15.54,0,-45.96059,0.097454222,167,0.019,0
clear,3,282,53.82,196,1233,26.54,407,3492,6.95,758,53.82,215,11.35,0,-46.86756,0.07716257,154,0.016,0
clear,3,730,40.53,213,1461,30.68,133,3379,19.22,158,50.54,194,10.56,-10.01,-31.31739,0.136513944,206,0.108,0
clear,3,677,43.37,200,1193,32.71,157,3284,0.35,1223,53.38,215,11.86,-10.01,-53.03238,0.092196274,168,0.029,0
clear,3,392,51.54,645,698,46.94,152,2309,1.56,2414,51.54,215,8.52,0,-49.98157,0.104728404,177,0.028,0
clear,3,716,43.42,292,1361,32.07,204,3695,7.31,478,53.72,215,11.6,-10.3,-46.41239,0.089395198,147,0.046,0
clear,3,324,53.32,155,1240,20.75,2955,1487,12.7,1477,53.32,215,9.36,0,-40.62485,0.139991345,151,0.072,0
clear,3,692,45.94,136,1227,33.19,137,3569,10.13,369,52.1,215,9.39,-6.16,-41.96801,0.11241792,163,0.071,0
clear,3,716,47.33,352,1288,34.81,494,3241,14.11,1986,53.35,215,9.01,-6.02,-39.24127,0.135201701,182,0.028,0
clear,3,846,37.73,539,1673,17.61,540,3519,12.11,118,52.81,215,13.9,-15.08,-40.69529,0.100437146,143,0.047,0
