clarity,timepoint,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,amp_p0,freq_p0,p0prominence,a1p0,a3p0,vwl_amp_rms,vwl_duration,appendix_dur,Label
clear,3,229,43.11,1162,854,33.98,183,2091,8.75,512,43.11,172,13.73,0,-34.36191,0.041175427,131,0.028,0
clear,3,370,51.99,474,1122,26.03,1225,2107,21.77,387,51.99,237,12.03,0,-30.21816,0.127207368,120,0.051,0
clear,3,743,50.36,174,1004,43.88,588,3108,20.6,375,48.08,194,5.73,2.28,-27.47795,0.089984798,122,0.035,0
clear,3,850,42.38,846,963,42.38,241,2768,6.36,1895,45.15,172,8.98,-2.77,-38.79477,0.077057958,114,0.068,0
clear,3,471,50.04,450,1195,42.47,115,2025,19.54,644,50.04,237,11.31,0,-30.50492,0.079105926,141,0.072,0
clear,3,753,50.09,193,1056,48.47,303,2929,22.44,362,46.6,172,3.29,3.49,-24.15567,0.10578053,110,0.063,0
clear,3,440,44.73,722,940,35.81,738,1970,18.06,722,48.99,215,8.04,-4.26,-30.93455,0.067447409,103,0.059,0
clear,3,367,49.26,637,1554,11.93,1210,2299,7.37,1258,49.26,194,12.99,0,-41.88934,0.086630262,99,0.032,0
clear,3,883,49.61,197,1138,49.61,1165,2883,11.38,1711,51.04,237,5.81,-1.43,-39.65757,0.106513722,127,0.028,0
normal,3,931,36.25,140,1880,10.89,736,3712,7.64,185,42.68,237,12.54,-6.43,-35.04167,0.02833156,126,0.034,1
normal,3,359,40.85,585,1162,23.9,360,1847,10.94,810,40.85,215,15.94,0,-29.90903,0.037690716,83,0.032,1
normal,3,903,30.82,284,1616,22.57,241,3463,17.76,220,42.27,237,16.3,-11.45,-24.51423,0.032499131,89,0.024,1
normal,3,281,43.96,218,1318,17.23,436,2276,6.63,598,43.96,237,13.83,0,-37.33442,0.039297004,112,0.043,1
normal,3,296,46.49,175,1231,28.44,99,2289,1.07,1090,46.49,237,13.39,0,-45.42289,0.038266144,100,0.04,1
normal,3,888,32.84,330,1487,20.43,731,3358,6.67,2244,43.89,237,12.21,-11.05,-37.21918,0.037469664,105,0.026,1
normal,3,839,25.32,494,1644,25.94,90,3326,15.01,239,42.78,215,18.96,-17.46,-27.7727,0.029802916,110,0.044,1
normal,3,261,44.39,224,1298,22.28,150,2314,1.84,1062,44.39,215,14.94,0,-42.55304,0.026796913,77,0.015,1
normal,3,721,33.56,659,1223,29.49,409,3200,-0.86,1056,42.86,194,6.76,-9.3,-43.72078,0.03320522,97,0.03,1
normal,3,771,27.28,556,1564,26.26,138,3355,6.53,890,42.98,194,4.75,-15.7,-36.44552,0.031400033,107,0,1
normal,3,909,31.68,333,1587,33.04,51,3380,12.83,579,45.39,215,10.59,-13.71,-32.55742,0.047596325,100,0,1
normal,3,358,43.39,549,1250,27.42,261,1801,14.18,970,43.39,215,12.5,0,-29.21023,0.030074683,51,0.032,1
normal,3,861,35.54,656,1236,34.15,316,3245,16.36,273,44.84,215,11.74,-9.3,-28.48282,0.049668049,91,0.021,1
normal,3,919,34.29,380,1664,30.83,86,3371,17.46,253,42.77,215,11.83,-8.48,-25.30615,0.042446107,84,0.033,1
normal,3,402,40.82,236,1324,24.4,243,2006,10.46,831,42.55,194,5.09,-1.73,-32.09202,0.031949281,76,0.039,1
normal,3,614,32.7,725,1189,27.67,399,3192,4.95,3609,41.49,194,3.02,-8.79,-36.54167,0.03637106,92,0.048,1
normal,3,394,42.58,429,1183,26.61,309,2077,5.03,1176,42.58,194,7.18,0,-37.55463,0.033244434,71,0.015,1
normal,3,432,36,360,1135,22.6,439,1897,6.52,795,41.85,215,6.43,-5.85,-35.32737,0.025693499,51,0.052,1
normal,3,863,22.56,516,1768,28.88,44,3404,13.01,278,43.39,215,18.41,-20.83,-30.38332,0.047051038,63,0.025,1
normal,3,853,30.22,387,1407,30.03,108,3442,7.69,507,42.84,215,15.16,-12.62,-35.14969,0.029670619,49,0.026,1
normal,3,571,29.76,969,1141,30.26,136,3606,12.89,198,44.22,215,15.63,-14.46,-31.32527,0.034111029,115,0.026,1
normal,3,917,33.4,275,1677,25.3,186,3256,17.23,166,42.21,194,5.52,-8.81,-24.97792,0.031892893,90,0.023,1
normal,3,224,42.69,724,1306,26.63,183,1600,22.54,1867,42.69,215,11.35,0,-20.15359,0.035818588,89,0.049,1
normal,3,901,31.8,319,1339,31.95,103,3259,5.94,281,42.44,215,13.6,-10.64,-36.50368,0.032872096,80,0.052,1
normal,3,748,34.26,541,1346,34.67,126,3313,24.38,99,43,215,12.99,-8.74,-18.62305,0.041255563,85,0.027,1
normal,3,965,34.21,254,1580,32.09,99,3172,13.81,313,44.1,215,12.82,-9.89,-30.28658,0.043672935,135,0.042,1
normal,3,350,45.53,946,1160,30.64,392,3016,8.94,1548,45.53,215,8.76,0,-36.58838,0.042099468,86,0.042,1
normal,3,397,40.81,538,1055,31.9,404,1847,13.5,827,44.31,194,3.81,-3.5,-30.80817,0.034708241,109,0.034,1
normal,3,308,46.08,258,1337,28.29,169,1814,14.45,830,46.08,215,9.8,0,-31.63426,0.050239017,103,0.048,1
normal,3,581,39.23,2123,934,33.97,361,2269,2.46,310,43.28,194,4.05,-4.05,-40.81982,0.053809099,74,0.054,1
normal,3,537,37.55,446,1171,34.69,84,3275,8.88,488,41.27,194,3.72,-3.72,-32.38504,0.04076555,70,0.042,1
normal,3,835,31.18,421,1711,22.45,310,3346,10,1538,46,215,7.44,-14.82,-36.00132,0.042581755,91,0.045,1
normal,3,477,43.9,324,1080,34.09,219,2355,-0.98,1743,43.4,194,4.72,0.5,-44.37988,0.053605626,129,0.021,1
normal,3,361,44.15,85,1201,27.94,92,2054,2.84,881,44.15,194,2.56,0,-41.30899,0.043929071,128,0.031,1
normal,3,339,44.21,444,1105,29.63,162,2342,8.37,582,44.21,215,10.35,0,-35.84202,0.041579411,81,0.075,1
normal,3,808,34.04,286,1630,13.28,662,3249,7.51,1474,44.98,215,9.15,-10.94,-37.47355,0.040317992,96,0.066,1
clear,3,358,44.43,624,933,38.87,135,2475,-7.63,1547,44.68,172,1.74,-0.25,-52.30936,0.056383075,170,0.022,0
clear,3,590,41.64,749,896,43.37,266,1935,12.66,930,47.08,215,5.44,-5.44,-34.42231,0.097978904,141,0,0
clear,3,456,47.13,341,1355,35.29,237,2000,19.38,870,45.77,194,6.93,1.36,-26.3941,0.063036227,170,0,0
clear,3,313,48.08,202,1367,28.79,165,2391,13.75,815,48.08,215,8.76,0,-34.32917,0.05420278,171,0,0
clear,3,334,48.83,269,960,24.08,1619,2097,12.51,395,48.83,237,11.73,0,-36.3206,0.064667028,179,0,0
clear,3,826,37.51,153,1615,13.8,835,3698,16.23,181,45.25,215,10.72,-7.74,-29.01689,0.074561624,155,0,0
clear,3,889,35.9,358,1541,30.93,256,3378,16.41,498,43.45,215,10.79,-7.55,-27.04313,0.051174952,117,0,0
clear,3,297,46.15,199,1202,21.91,422,2165,9.63,386,46.15,237,13.07,0,-36.52205,0.038682937,119,0,0
clear,3,274,46.81,626,948,36.79,128,2043,9.61,462,46.81,237,14.53,0,-37.20041,0.054920001,157,0.019,0
clear,3,976,35.12,816,1220,31.11,546,1966,15.38,940,45.61,237,15.78,-10.49,-30.22798,0.0502739,159,0,0
clear,3,787,32.37,654,1310,29.54,321,1862,16.14,727,43.56,237,16.19,-11.19,-27.42151,0.072688899,118,0,0
clear,3,338,47.74,290,1162,22.23,1066,2087,12.57,616,47.74,237,10.88,0,-35.17304,0.047364947,135,0,0
clear,3,874,35.31,381,1888,14.51,791,3519,12.6,206,47.14,237,16.14,-11.83,-34.53529,0.072305088,137,0,0
clear,3,952,38.07,443,1475,33.83,381,3286,14.78,1855,45.84,237,13.01,-7.77,-31.05819,0.073455459,129,0,0
clear,3,320,47.31,223,1143,27.31,254,2160,8.97,643,47.31,237,11.52,0,-38.34315,0.058995826,122,0,0
clear,3,828,35.82,526,1152,30.25,967,3369,12.06,2062,46.83,258,15.32,-11.01,-34.76998,0.072598583,154,0,0
clear,3,361,48.65,260,1255,32.23,176,2162,9.81,1595,48.65,258,10.28,0,-38.83583,0.056420731,142,0,0
clear,3,327,50.04,117,1151,23.95,356,2182,10.22,515,50.04,258,10.95,0,-39.82497,0.062046122,156,0,0
clear,3,760,33.67,770,1462,24.74,463,3564,8.95,1476,46.66,237,16.16,-12.99,-37.71425,0.067852787,248,0,0
clear,3,342,46.69,348,1157,29.55,217,2036,8.87,672,46.69,237,14.86,0,-37.82436,0.047304089,150,0,0
clear,3,861,36.58,455,1440,24.96,723,3942,7.46,216,47.93,237,14.75,-11.35,-40.47094,0.052407492,235,0.025,0
clear,3,979,32.3,413,1313,31.11,383,3853,8.84,522,44.26,237,15.91,-11.96,-35.42496,0.045655481,142,0,0
clear,3,391,50.59,147,954,24.87,934,2032,10.02,629,50.59,280,6.96,0,-40.57172,0.086098754,145,0,0
clear,3,529,44.12,614,1471,21.89,331,2276,1.43,2520,45.51,258,17.2,-1.39,-44.08259,0.059594008,213,0,0
clear,3,864,37.34,358,1576,30.34,236,3648,19.95,1123,46.16,237,13.2,-8.82,-26.21461,0.081404582,150,0,0
clear,3,719,34.87,1313,1290,32.88,322,3149,2.34,2196,47.02,258,15.52,-12.15,-44.67571,0.052854109,110,0,0
clear,3,302,49.07,132,1175,29.92,113,2172,8.67,602,49.07,237,11.99,0,-40.40094,0.06377787,108,0,0
clear,3,972,45.63,81,1907,18.65,1354,3784,17.79,88,51.36,237,14.15,-5.73,-33.56684,0.073733657,198,0.016,0
clear,3,324,49.71,98,1140,25.26,266,2008,9.19,473,49.71,237,9.3,0,-40.524,0.080413725,143,0,0
clear,3,910,40.1,152,1727,16.82,728,3746,12.92,120,46.89,237,14.64,-6.79,-33.97102,0.095177193,131,0,0
clear,3,646,36.4,1368,999,36.97,215,2999,-1.24,2473,47.39,237,13.58,-10.99,-48.62545,0.062289426,122,0,0
clear,3,789,38.83,551,1623,26.69,370,3708,12.47,217,48.58,258,14.16,-9.75,-36.1143,0.069781124,139,0,0
clear,3,891,39.31,258,1280,32.41,484,3644,21.48,912,47.56,237,12.93,-8.25,-26.08281,0.088533638,177,0,0
clear,3,289,46.93,101,1183,24,165,2343,2.66,660,46.93,258,14.98,0,-44.26521,0.056025124,120,0,0
clear,3,355,49.76,127,1198,23.66,570,2092,12.04,696,49.76,258,9.15,0,-37.7168,0.085503667,127,0,0
clear,3,882,41.5,110,1434,24.83,596,3571,15.56,252,45.08,215,14.74,-3.58,-29.51615,0.063324492,92,0,0
normal,3,390,39.36,525,820,28.29,508,2305,9.13,242,44.85,172,5.48,-5.49,-35.72348,0.047515876,206,0.053,1
normal,3,743,34.4,202,1303,20.14,1463,2469,10.32,123,43.57,194,5.75,-9.17,-33.25137,0.069176741,119,0.047,1
normal,3,503,43.7,301,1183,33.95,207,2317,14.89,201,42.37,237,8.59,1.33,-27.48101,0.049779344,78,0.044,1
normal,3,478,48.58,46,2142,9.16,818,2745,11.36,405,42.97,237,10.86,5.61,-31.61055,0.047956496,94,0.046,1
normal,3,263,41.43,302,1693,10.28,536,2813,9.48,397,41.43,194,11.44,0,-31.94609,0.037461824,93,0.054,1
normal,3,493,41.26,274,972,37.57,110,2482,11.47,206,44.13,194,2.87,-2.87,-32.66049,0.044902409,75,0.041,1
normal,3,564,39.09,358,1591,29.66,182,2511,18.69,361,40.61,194,6.05,-1.52,-21.92084,0.047217055,98,0.059,1
normal,3,461,40.83,226,929,24.47,1575,2411,16.36,256,43.41,215,8.96,-2.58,-27.04918,0.039592234,81,0.025,1
normal,3,322,43.47,518,912,32.01,195,2363,11.6,175,43.47,172,7.06,0,-31.86585,0.049094334,180,0.023,1
normal,3,420,40.15,236,1306,23.58,286,2493,13.62,417,39.89,194,5.33,0.26,-26.26983,0.041862072,97,0.057,1
normal,3,491,39.53,374,1295,27.63,289,2438,15.07,265,40.96,172,1.43,-1.43,-25.8901,0.039357397,82,0.044,1
normal,3,511,39.37,295,2113,13.41,1472,2450,13.41,279,40.73,194,1.37,-1.36,-27.32363,0.031795502,95,0.041,1
normal,3,342,41.54,331,956,22.54,410,2456,7.65,100,41.54,194,5.73,0,-33.89075,0.0488846,128,0.04,1
normal,3,442,42.17,85,1315,20.71,218,2385,10.37,341,42.17,258,2.8,0,-31.79526,0.050667352,95,0.042,1
normal,3,424,44.81,178,761,29.17,647,2565,9.31,203,44.81,215,2.4,0,-35.49841,0.048791336,83,0.044,1
normal,3,451,38.02,216,909,24.35,579,2497,8.16,201,41.94,194,14.22,-3.92,-33.78008,0.044087539,131,0.037,1
normal,3,369,41.06,190,2496,6.24,152,3935,-3.38,988,41.06,194,8.59,0,-44.43797,0.0333847,145,0.038,1
normal,3,478,42.67,105,1969,3.1,430,3243,-1.32,833,41.62,248,3.98,1.05,-42.93802,0.036473981,70,0.06,1
normal,3,390,44.29,549,1826,30.58,203,2889,23.31,478,48.06,194,6.74,-3.77,-24.7546,0.062857519,130,0.035,1
normal,3,353,41.65,146,1378,20.34,217,2443,1.76,379,42.41,172,9.2,-0.76,-40.64747,0.032704882,115,0.054,1
normal,3,275,44.21,1371,999,24.52,406,2788,8.88,533,44.21,194,5.48,0,-35.33322,0.036949211,219,0.016,1
normal,3,554,35.73,279,1293,26.12,242,2058,12.35,535,38.12,172,7.42,-2.39,-25.77265,0.032451349,145,0.02,1
normal,3,443,42.99,107,797,27.95,2144,2594,12.31,719,43.12,215,0.13,-0.13,-30.81399,0.046412801,144,0.034,1
normal,3,534,36.35,363,1366,28.75,231,2348,16.41,375,41.91,172,10.43,-5.56,-25.49995,0.033451835,74,0.077,1
normal,3,365,31.9,196,1261,17.65,288,2419,3.79,487,40.9,172,13.67,-9,-37.11228,0.038207324,129,0.064,1
normal,3,410,34.49,173,1232,26.08,109,2506,7.17,106,39.88,215,12.88,-5.39,-32.70643,0.03539088,99,0.038,1
normal,3,418,42.82,109,1229,10.98,1412,2853,-0.12,447,42.82,215,2.39,0,-42.93502,0.039036573,147,0.043,1
normal,3,233,42.08,1437,648,30.17,278,2621,2.93,251,42.08,194,6.1,0,-39.14774,0.029490921,190,0.047,1
normal,3,470,46.57,59,686,45.26,2204,2500,13.72,145,42.07,237,10.39,4.5,-28.3465,0.044650215,108,0.047,1
normal,3,527,36.36,236,1422,-1.97,229,3036,-0.13,132,38.79,215,2.43,-2.43,-38.92374,0.038333178,125,0.029,1
normal,3,561,34.64,438,1782,-6.88,290,3219,-0.77,292,39.58,194,4.94,-4.94,-40.34642,0.040296605,96,0.034,1
normal,3,408,41.86,128,1430,12.39,1021,2351,5,279,41.86,237,4.03,0,-36.86484,0.031841291,330,0.064,1
normal,3,389,35.94,117,1074,21.95,172,2609,1.01,685,43.89,172,8.16,-7.95,-42.881,0.035747294,74,0.072,1
normal,3,444,42.08,77,2508,5.19,310,3963,4.63,1433,42.64,215,0.56,-0.56,-38.01097,0.046965305,105,0.051,1
normal,3,484,46.48,49,2493,10.27,241,3514,1.37,742,45.02,237,9.54,1.46,-43.65004,0.059581403,166,0.065,1
normal,3,475,33.45,280,1367,4.62,212,2935,-1.99,191,39.94,194,6.49,-6.49,-41.92749,0.036898018,114,0.033,1
clear,3,440,39.87,165,858,14.61,1406,2938,1.48,540,43.12,151,3.25,-3.25,-41.64237,0.05499587,187,0.031,0
clear,3,476,43.01,368,887,41.57,137,2398,9.01,485,44.73,194,1.72,-1.72,-35.72461,0.085609968,71,0.039,0
clear,3,510,41.92,282,1241,33.36,159,2384,11.83,402,43.12,194,1.2,-1.2,-31.29086,0.057629529,90,0.041,0
clear,3,402,50.88,1197,1492,2.22,337,3062,13.49,472,43.59,215,10.38,7.29,-30.10071,0.066601318,105,0.03,0
clear,3,503,43.07,181,2427,6.22,548,3507,3.63,724,43.07,345,4.69,0,-39.43561,0.057927572,84,0.067,0
clear,3,526,45.69,225,941,44.17,71,2544,14.51,264,44.54,194,1.73,1.15,-30.03152,0.063801739,73,0.058,0
clear,3,561,44.03,338,1472,35.94,193,2536,26.02,357,44.27,194,0.23,-0.24,-18.25467,0.057412528,78,0.034,0
clear,3,568,43.12,134,2500,18.47,423,3164,9.34,1132,44.76,345,3.03,-1.64,-35.41541,0.039967179,66,0.027,0
clear,3,441,41.07,222,853,31.55,311,2467,7.98,287,43.41,172,2.34,-2.34,-35.43282,0.054221628,199,0.03,0
clear,3,579,41.22,319,1427,39.34,138,2502,20.26,275,45.09,194,20.23,-3.87,-24.83415,0.047748445,59,0.018,0
clear,3,586,42.62,382,1348,34.13,170,2577,20.97,331,45.09,194,20.71,-2.47,-24.12272,0.083672669,93,0.029,0
clear,3,477,51.5,84,2383,22.55,328,3227,3.8,1271,42.65,215,12.61,8.85,-38.84503,0.063671207,74,0.044,0
clear,3,391,42.76,216,940,37.32,73,2468,6.64,521,45.4,194,2.64,-2.64,-38.75903,0.071149276,77,0.027,0
clear,3,538,43.51,243,1384,33.82,114,2445,17.49,756,41.78,194,6.71,1.73,-24.28878,0.073863876,64,0.033,0
clear,3,485,48.61,92,2657,13.6,428,3421,6.35,961,45.76,194,5.76,2.85,-39.40827,0.066340243,88,0.05,0
clear,3,511,43.44,350,964,41.66,96,2509,7.91,462,42.14,194,1.91,1.3,-34.22501,0.06626949,88,0.028,0
clear,3,567,45.72,228,2460,19.06,278,3523,8.73,1192,41.91,194,5.33,3.81,-33.17613,0.054064943,69,0.028,0
clear,3,512,51.16,66,2494,19.89,380,3332,15.27,620,45.19,215,7.62,5.97,-29.91678,0.07384819,100,0.039,0
clear,3,520,47.85,101,2132,26.02,280,2773,17.9,1803,49.82,172,2.61,-1.97,-31.92349,0.086263123,132,0.06,0
clear,3,604,39.13,416,1462,34.38,205,2512,21.98,365,43.69,194,24.3,-4.56,-21.71224,0.056208419,78,0.015,0
clear,3,451,40.13,791,534,36.69,450,2554,4.81,317,44.11,172,3.98,-3.98,-39.29923,0.055877884,234,0,0
clear,3,457,42.65,124,1202,32,139,2343,13.3,210,41.77,215,4.12,0.88,-28.46859,0.05523201,128,0.024,0
clear,3,621,43.07,403,671,43.07,1188,2487,24.09,245,46.41,194,5.54,-3.34,-22.32224,0.122802499,94,0.043,0
clear,3,687,45.11,160,1522,41.2,138,2446,28.38,242,44.2,194,1.67,0.91,-15.82381,0.082153734,64,0.082,0
clear,3,611,47.92,262,1344,41.82,166,2464,25.03,746,46,194,0.09,1.92,-20.97261,0.086523136,55,0.041,0
clear,3,609,37.33,298,1245,36.53,137,1952,18.98,346,38.48,172,10.9,-1.15,-19.50393,0.065689905,66,0,0
clear,3,574,43.33,165,2515,19.01,249,3302,8.61,636,44.79,172,1.95,-1.46,-36.17566,0.064818613,126,0.023,0
clear,3,465,47.95,1060,753,46.44,153,2499,17.41,296,45.37,151,0.97,2.58,-27.95769,0.068753129,216,0.015,0
clear,3,601,43.53,249,2500,18.3,362,3592,10.63,556,45.49,172,0.44,-1.96,-34.85599,0.086204818,121,0.043,0
clear,3,481,47.38,185,886,48.57,32,2527,18.34,117,47.34,215,2.02,0.04,-29.00489,0.140040633,121,0.016,0
clear,3,503,44.62,307,953,45.77,60,2438,19.33,174,45.08,194,2.03,-0.46,-25.75185,0.07141907,119,0.032,0
clear,3,528,46.76,187,1266,40.09,111,2387,22.86,124,46.12,172,1.9,0.64,-23.25944,0.105267406,75,0,0
clear,3,520,47.75,109,1085,41.69,62,2742,22.44,158,46.48,194,0.19,1.27,-24.03977,0.083057597,97,0.088,0
clear,3,636,41.58,172,2520,19.68,304,3323,9.27,1191,44.7,345,2.09,-3.12,-35.43467,0.07752791,77,0.051,0
clear,3,556,43.72,83,2566,9.41,399,3744,5.37,641,41.95,215,3.31,1.77,-36.58214,0.090724701,75,0.029,0
clear,3,606,49.34,503,906,45.4,237,2418,17.52,763,44.5,172,0.25,4.84,-26.98373,0.083902353,76,0.025,0
normal,3,624,50.91,328,920,56.3,73,2357,18.77,587,49.07,215,1.68,1.84,-30.30202,0.125002289,155,0,1
normal,3,641,53.57,203,973,46.91,334,2118,13.35,2342,50.79,237,-0.11,2.78,-37.43945,0.197245947,175,0.032,1
normal,3,628,51.28,326,1016,52.98,102,2400,22.47,795,50.34,215,2.96,0.94,-27.87478,0.156706701,195,0.031,1
normal,3,456,49.38,297,1089,38.18,381,2698,22.16,333,49.95,215,0.62,-0.57,-27.79051,0.114454816,181,0.03,1
normal,3,456,48.78,140,1117,33.42,435,2766,7.25,849,46.24,215,8.2,2.54,-38.9923,0.111157861,160,0.047,1
normal,3,580,54.03,523,876,59.29,51,2374,21.12,706,51.42,215,2.7,2.61,-30.29718,0.177874229,190,0.07,1
normal,3,650,49.77,347,1087,45.64,194,2294,19.2,1182,47.93,215,5.5,1.84,-28.73414,0.11699775,161,0.034,1
normal,3,471,49.61,192,1128,36.29,375,2876,24.57,617,49.48,237,6.18,0.13,-24.90782,0.070779793,149,0.032,1
normal,3,570,50.66,301,905,51.3,115,2384,19.29,355,49.48,215,1.08,1.18,-30.1872,0.123666866,154,0.018,1
normal,3,556,47.71,390,1022,43.25,155,2282,16.02,1072,47.29,194,5.21,0.42,-31.27287,0.073632763,166,0.014,1
normal,3,584,49.98,319,1016,49.64,76,2228,16.67,633,49.07,194,4.73,0.91,-32.39711,0.153524301,181,0.065,1
normal,3,434,48.38,155,972,27.84,621,2579,10.09,1023,49.53,215,1.14,-1.15,-39.44279,0.085900703,112,0.049,1
normal,3,623,48.25,452,915,54.07,73,2296,18.23,1037,49.07,215,0.82,-0.82,-30.84189,0.131465337,141,0.048,1
normal,3,487,48.41,326,1190,40.78,168,2384,24.75,570,51.48,215,3.07,-3.07,-26.727,0.157077834,134,0.051,1
normal,3,479,51.38,181,1102,36.03,434,2478,20.52,618,51.05,215,3.25,0.33,-30.52675,0.10816056,119,0.044,1
normal,3,633,51.16,430,917,51.16,190,2429,24.11,629,49.17,215,0.45,1.99,-25.0644,0.094881336,130,0.038,1
normal,3,747,43.92,265,2222,14.06,1292,3274,22.42,226,50.2,237,7.96,-6.28,-27.78413,0.066492632,141,0.043,1
normal,3,475,50.36,167,1048,32.89,627,3109,22.34,446,49.13,237,5.48,1.23,-26.79236,0.066584878,100,0.04,1
normal,3,622,49.34,355,1380,37.55,564,2237,25.55,1352,50.44,215,1.1,-1.1,-24.89035,0.126025894,209,0.034,1
normal,3,573,44.91,303,1063,43.68,139,2295,18.32,494,46.37,215,1.46,-1.46,-28.04666,0.078243617,116,0.016,1
normal,3,486,47.6,673,843,48.79,136,2595,17.51,993,49.9,194,2.3,-2.3,-32.38806,0.102165254,165,0.028,1
normal,3,574,48.05,222,1166,42.99,106,2420,19.08,1114,47.15,215,3.79,0.9,-28.06562,0.080888008,126,0.027,1
normal,3,397,49.84,246,1156,33.12,433,2560,19.71,581,49.84,215,2.2,0,-30.12566,0.099238662,128,0.038,1
normal,3,691,46.05,393,1125,40.83,272,2529,19.76,644,48.01,215,2.94,-1.96,-28.24813,0.106149857,118,0.035,1
normal,3,695,47.99,336,1104,44,220,2577,10.66,1219,46.2,215,2.13,1.79,-35.53889,0.097665283,186,0.057,1
normal,3,651,48.51,382,1121,47.47,130,2304,17.68,1359,45.19,237,5.1,3.32,-27.50776,0.10984876,147,0.051,1
normal,3,504,52.32,205,1281,36.18,485,2769,23.38,693,52.32,258,0.93,0,-28.94132,0.110276758,130,0.026,1
normal,3,585,50.65,144,939,50.65,84,2364,17.09,429,46.45,237,1.22,4.2,-29.35787,0.094183087,111,0.021,1
normal,3,434,47.33,206,1056,36.46,261,2522,10.14,395,47.33,215,0.53,0,-37.19006,0.131452251,136,0.042,1
normal,3,642,51.34,511,883,56.59,56,2628,14.83,1419,47.27,215,1.53,4.07,-32.43847,0.153739522,144,0.113,1
normal,3,593,48.83,307,1028,51.69,44,2285,17.32,786,46.49,215,5.29,2.34,-29.1728,0.130094067,187,0.039,1
normal,3,672,54.66,537,856,54.66,108,2224,14.14,1532,47.71,215,1.6,6.95,-33.57161,0.116264304,174,0.041,1
normal,3,456,47.13,202,1150,31.08,348,2698,15.9,961,47.06,215,5.84,0.07,-31.15848,0.097141503,106,0.044,1
normal,3,438,50.05,94,1140,31.58,351,3239,22.17,796,50.05,237,0.33,0,-27.87945,0.119940674,162,0.081,1
normal,3,628,51.23,329,921,55.28,80,2262,22.42,449,49.32,237,1.28,1.91,-26.9012,0.14359372,168,0.024,1
clear,3,639,53.05,318,909,53.59,164,2310,16.11,1132,50.14,215,-0.28,2.91,-34.03253,0.154143869,187,0.036,0
clear,3,663,49.6,178,915,49.6,453,2200,11.41,1296,47.01,237,1.28,2.59,-35.59687,0.170292662,203,0.02,0
clear,3,684,46.15,554,980,48.5,180,2886,14.54,2016,48.36,237,2.21,-2.21,-33.81892,0.155423009,207,0.042,0
clear,3,385,46.92,297,1206,27.65,598,2578,16.66,782,49,194,2.07,-2.08,-32.33825,0.08287114,117,0.045,0
clear,3,387,51.17,799,1096,40.44,271,2632,18.43,1104,51.17,280,9.33,0,-32.74114,0.205734683,162,0.035,0
clear,3,739,58.58,886,827,58.58,96,2481,20.58,1337,50.85,215,2.12,7.73,-30.27455,0.163805058,165,0.046,0
clear,3,729,48.6,205,1194,49.66,61,2543,13.97,2219,45.98,237,1.62,2.62,-32.00748,0.124031376,179,0.042,0
clear,3,430,49.25,283,1198,32.63,341,2988,24.75,229,49.25,237,5.91,0,-24.50378,0.0793639,180,0.039,0
clear,3,660,47.81,363,874,47.38,306,2983,20.69,609,47.38,215,0.006,0.43,-26.68942,0.112555429,172,0.051,0
clear,3,718,50.81,237,1124,50.81,87,2391,15.01,1355,49,237,2.09,1.81,-33.99037,0.110778016,166,0,0
clear,3,695,49.03,478,1087,52.59,77,2208,17.62,1359,46.63,215,2.73,2.4,-29.00681,0.174072629,170,0.024,0
clear,3,454,47.64,426,1055,34.41,421,2714,18.89,708,47.64,258,5.1,0,-28.74525,0.099023651,128,0.028,0
clear,3,661,54.32,804,869,54.32,64,2418,13.13,1339,46.14,215,1.71,8.18,-33.01456,0.142312093,196,0.031,0
clear,3,609,47.33,287,1055,49.18,60,2261,12.32,1055,48.12,215,0.79,-0.79,-35.79965,0.126702689,154,0.05,0
clear,3,823,37.18,272,2665,14.3,571,3195,10.89,1379,48.17,280,14.53,-10.99,-37.27692,0.08494768,115,0.011,0
clear,3,604,50.32,281,887,50.32,164,2925,20.17,1547,47.46,215,0.81,2.86,-27.2893,0.128863451,165,0.18,0
clear,3,469,48.62,239,1128,36.71,348,2950,24.16,1208,48.77,237,0.15,-0.15,-24.60977,0.096946109,145,0.074,0
clear,3,450,47.71,255,1165,30.64,472,3071,21.67,402,48.93,215,1.22,-1.22,-27.25604,0.077278456,124,0.051,0
clear,3,631,45.16,326,1092,43.96,99,2491,11.57,1827,44.14,215,2.4,1.02,-32.56628,0.1193836,265,0.113,0
clear,3,606,45.21,281,1032,47.02,61,2523,13.29,771,45.93,215,0.72,-0.72,-32.64012,0.10893775,142,0.074,0
clear,3,781,53.19,125,798,53.19,951,2828,23.63,689,47.95,194,3.4,5.24,-24.31842,0.122667727,187,0.08,0
clear,3,669,49.22,214,1070,49.22,57,2406,13.23,1368,46.87,215,1.22,2.35,-33.64242,0.111322193,175,0.068,0
clear,3,337,47.16,1150,971,38.75,290,2717,18.18,831,47.16,237,5.23,0,-28.97731,0.118062769,152,0.028,0
clear,3,561,47.75,399,1006,46.72,107,2562,14.38,1645,48.37,215,0.62,-0.62,-33.9884,0.11609623,165,0.063,0
clear,3,623,47.26,382,1077,44.87,129,2427,16.5,1163,47.32,194,5.61,-0.06,-30.81693,0.122064424,188,0.046,0
clear,3,792,47.71,350,1056,47.71,167,2460,14.64,2902,45.78,258,14.2,1.93,-31.14075,0.117167268,214,0.017,0
