,1_ortho,2_phon,3_lemme,4_cgram,5_genre,6_nombre,7_freqlemfilms2,8_freqlemlivres,9_freqfilms2,10_freqlivres,11_infover,12_nbhomogr,13_nbhomoph,14_islem,15_nblettres,16_nbphons,17_cvcv,18_p_cvcv,19_voisorth,20_voisphon,21_puorth,22_puphon,23_syll,24_nbsyll,25_cv-cv,26_orthrenv,27_phonrenv,28_orthosyll,29_cgramortho,30_deflem,31_defobs,32_old20,33_pld20,34_morphoder,35_nbmorph
10,sent,s@,sentir,VER,,,535.4,718.78,74.27,84.73,ind:pre:3s;,1,8,0,4,2,CVCC,CV,10,28,0,2,s@,1,CV,tnes,@s,sent,VER,100.0,19.0,1.15,1.0,sentir,1
11,se,s¡,se,PRO:per,,,2813.77,6587.77,2813.77,6587.77,,1,1,1,2,2,CV,CV,12,18,2,2,s¡,1,CV,es,¡s,se,PRO:per,,,1.0,,se-:per,2
12,chiens,Sj5,chien,NOM,m,p,223.53,184.59,50.76,54.53,,2,3,0,6,3,CCVVCC,CYV,1,12,6,3,Sj5,1,CYV,sneihc,5jS,chiens,"NOM,ADJ",92.0,26.0,1.85,1.4,chien,1
13,chiait,SjE,chier,VER,,,67.53,22.64,0.12,0.07,ind:imp:3s;,1,3,0,6,3,CCVVVC,CYV,3,14,0,0,SjE,1,CYV,tiaihc,EjS,chiait,VER,95.0,21.0,1.75,1.15,chier,1
14,cinq,s5k,cinq,ADJ:num,,,161.96,220.61,161.96,220.61,,1,1,1,4,3,CVCC,CVC,1,10,4,3,s5k,1,CVC,qnic,k5s,cin-q,ADJ:num,,,1.95,1.4,cinq-:num,2
15,secs,sEk,sec,ADJ,m,p,43.02,142.84,4.91,17.09,,1,3,0,4,3,CVCC,CVC,10,28,0,3,sEk,1,CVC,sces,kEs,secs,ADJ,,,1.4,1.0,sec,1
16,craintes,kR5t,crainte,NOM,f,p,14.54,52.64,3.15,7.03,,2,4,0,8,4,CCVVCCVC,CCVC,0,4,0,4,kR5t,1,CCVC,setniarc,t5Rk,crain-tes,"VER,NOM",96.0,26.0,1.9,1.65,crainte,1
17,crtes,kREt,crte,NOM,f,p,4.23,26.22,0.71,4.59,,1,2,0,6,4,CCVCVC,CCVC,4,15,0,4,kREt,1,CCVC,setrc,tERk,cr-tes,NOM,94.0,18.0,1.7,1.0,crte,1
18,dents,d@,dent,NOM,f,p,74.2,125.68,60.94,114.53,,1,5,0,5,2,CVCCC,CV,5,28,0,2,d@,1,CV,stned,@d,dents,NOM,95.0,20.0,1.65,1.0,dent,1
19,de,d¡,de,PRE,,,25220.86,38928.92,25220.86,38928.92,,2,2,1,2,2,CV,CV,16,18,2,2,d¡,1,CV,ed,¡d,de,"ART:def,PRE",,,1.0,,de,1
20,dessins,des5,dessin,NOM,m,p,29.6,56.28,11.68,21.42,,1,5,0,7,4,CVCCVCC,CVCV,4,9,0,4,de-s5,2,CV-CV,snissed,5sed,des-sins,NOM,100.0,20.0,1.6,1.45,dessiner,1
21,dcs,desE,dcs,NOM,m,,12.82,4.66,12.82,4.66,,1,1,1,5,4,CVCVC,CVCV,0,12,4,4,de-sE,2,CV-CV,scd,Esed,d-cs,NOM,100.0,15.0,2.0,1.05,dcs,1
22,devnt,d¡v5,devenir,VER,,,438.57,533.51,0.29,2.09,sub:imp:3s;,1,5,0,6,4,CVCVCC,CVCV,3,9,0,4,d¡-v5,2,CV-CV,tnved,5v¡d,de-vnt,VER,100.0,37.0,1.85,1.35,devenir,1
23,devait,d¡vE,devoir,VER,,,3232.57,1318.18,108.88,298.99,ind:imp:3s;,1,3,0,6,4,CVCVVC,CVCV,3,10,0,0,d¡-vE,2,CV-CV,tiaved,Ev¡d,de-vait,VER,95.0,22.0,1.8,1.4,devoir,1
24,fins,f5,fin,NOM,,p,213.37,314.53,6.03,11.22,,2,12,0,4,2,CVCC,CV,13,25,0,2,f5,1,CV,snif,5f,fins,"ADJ,NOM",,,1.0,1.0,finir,1
25,faits,fE,fait,NOM,m,p,412.07,355.54,27.36,30.27,,3,8,0,5,2,CVVCC,CV,4,28,0,2,fE,1,CV,stiaf,Ef,faits,"VER,ADJ,NOM",100.0,19.0,1.6,1.0,fait,1
26,foin,fw5,foin,NOM,m,s,6.73,17.91,6.06,16.01,,1,2,1,4,3,CVVC,CYV,6,10,4,3,fw5,1,CYV,niof,5wf,foin,NOM,85.0,27.0,1.55,1.4,foin,1
27,fouet,fwE,fouet,NOM,m,s,8.56,18.31,7.92,16.69,,1,2,1,5,3,CVVVC,CYV,6,14,5,3,fwE,1,CYV,teuof,Ewf,fouet,NOM,96.0,26.0,1.6,1.1,fouet,1
28,fonces,f¤s,foncer,VER,,,30.27,41.82,1.16,0.2,ind:pre:2s;sub:pre:2s;,1,3,0,6,3,CVCCVC,CVC,7,12,0,0,f¤s,1,CVC,secnof,s¤f,fon-ces,VER,95.0,21.0,1.45,1.0,foncer,1
29,fosse,fOs,fosse,NOM,f,s,7.92,14.05,6.64,10.74,,1,2,1,5,3,CVCCV,CVC,9,17,5,3,fOs,1,CVC,essof,sOf,fos-se,NOM,89.0,19.0,1.5,1.0,fosse,1
30,freins,fR5,frein,NOM,m,p,10.25,13.18,5.38,5.27,,1,2,0,6,3,CCVVCC,CCV,3,15,0,3,fR5,1,CCV,snierf,5Rf,freins,NOM,95.0,23.0,1.55,1.0,frein,1
31,frais,fRE,frais,NOM,m,,26.81,33.38,26.16,29.8,,3,9,1,5,3,CCVVC,CCV,7,19,5,3,fRE,1,CCV,siarf,ERf,frais,"ADJ,ADV,NOM",100.0,16.0,1.3,1.0,frais,1
32,gens,Z@,gens,NOM,,p,594.29,409.39,594.29,409.39,,1,4,1,4,2,CVCC,CV,9,27,4,2,Z@,1,CV,sneg,@Z,gens,NOM,100.0,17.0,1.45,1.0,gens,1
33,je,Z¡,je,PRO:per,,s,25983.2,10862.77,25983.2,10862.77,,2,2,1,2,2,CV,CV,9,17,2,2,Z¡,1,CV,ej,¡Z,je,"NOM,PRO:per",,,1.35,,je-:per,2
34,hein,5,hein,ONO,,,437.2,88.45,437.2,88.45,,1,1,1,4,1,CVVC,V,2,20,3,1,5,1,V,nieh,5,hein,ONO,,,1.9,1.0,hein,1
35,hait,E,har,VER,,,55.42,35.68,7.53,3.58,ind:pre:3s;,1,15,0,4,1,CVVC,V,11,20,0,1,E,1,V,tiah,E,hait,VER,100.0,24.0,1.2,1.0,har,1
36,joints,Zw5,joindre,VER,m,p,46.37,32.7,0.39,2.36,par:pas;,3,7,0,6,3,CVVCCC,CYV,2,13,0,3,Zw5,1,CYV,stnioj,5wZ,joints,"VER,ADJ,NOM",94.0,18.0,1.65,1.15,joindre,1
37,jouets,ZwE,jouet,NOM,m,p,25.5,21.01,13.68,13.99,,1,6,0,6,3,CVVVCC,CYV,1,15,0,3,ZwE,1,CYV,steuoj,EwZ,jouets,NOM,100.0,19.0,1.85,1.1,jouer-et,2
38,lents,l@,lent,ADJ,m,p,16.41,64.12,1.65,12.03,,1,2,0,5,2,CVCCC,CV,6,29,0,2,l@,1,CV,stnel,@l,lents,ADJ,100.0,20.0,1.6,1.0,lent,1
39,le,l¡,le,PRO:per,m,s,3300.74,2424.19,3300.74,2424.19,,2,2,1,2,2,CV,CV,14,19,2,2,l¡,1,CV,el,¡l,le,"ART:def,PRO:per",,,1.0,,le-:per,2
40,liens,lj5,lien,NOM,m,p,35.89,38.38,12.42,20.2,,1,2,0,5,3,CVVCC,CYV,9,14,0,3,lj5,1,CYV,sneil,5jl,liens,NOM,100.0,20.0,1.4,1.25,lien,1
41,liait,ljE,lier,VER,,,37.17,46.08,0.71,3.72,ind:imp:3s;,1,4,0,5,3,CVVVC,CYV,5,16,0,0,ljE,1,CYV,tiail,Ejl,liait,VER,100.0,19.0,1.45,1.0,lier,1
42,loin,lw5,loin,ADV,,,248.34,452.36,248.34,452.36,,1,1,1,4,3,CVVC,CYV,5,13,4,3,lw5,1,CYV,niol,5wl,loin,ADV,,,1.55,1.25,loin,1
43,louait,lwE,louer,VER,,,48.08,29.46,1.46,3.24,ind:imp:3s;,1,4,0,6,3,CVVVVC,CYV,8,16,0,0,lwE,1,CYV,tiauol,Ewl,louait,VER,94.0,19.0,1.4,1.0,louer,1
44,longes,l¤Z,longer,VER,,,2.98,34.32,0.01,0.0,ind:pre:2s;,2,5,0,6,3,CVCCVC,CVC,8,10,0,3,l¤Z,1,CVC,segnol,Z¤l,lon-ges,"NOM,VER",80.0,26.0,1.35,1.1,longer,1
45,loges,lOZ,loger,VER,,,18.36,26.42,0.65,0.27,ind:pre:2s;sub:pre:2s;,2,5,0,5,3,CVCVC,CVC,13,16,0,3,lOZ,1,CVC,segol,ZOl,lo-ges,"NOM,VER",100.0,14.0,1.15,1.15,loger,1
46,longera,l¤Z¡Ra,longer,VER,,,2.98,34.32,0.16,0.0,ind:fut:3s;,1,1,0,7,6,CVCCVCV,CVCVCV,2,5,0,0,l¤-Z¡-Ra,3,CV-CV-CV,aregnol,aR¡Z¤l,lon-ge-ra,VER,80.0,26.0,1.7,,longer,1
47,logeras,lOZ¡Ra,loger,VER,,,18.36,26.42,0.24,0.07,ind:fut:2s;,1,2,0,7,6,CVCVCVC,CVCVCV,2,4,0,0,lO-Z¡-Ra,3,CV-CV-CV,saregol,aR¡ZOl,lo-ge-ras,VER,100.0,14.0,1.85,,loger,1
48,longerait,l¤Z¡RE,longer,VER,,,2.98,34.32,0.0,0.14,cnd:pre:3s;,1,2,0,9,6,CVCCVCVVC,CVCVCV,2,5,0,0,l¤-Z¡-RE,3,CV-CV-CV,tiaregnol,ER¡Z¤l,lon-ge-rait,VER,80.0,26.0,1.75,,longer,1
49,logerait,lOZ¡RE,loger,VER,,,18.36,26.42,0.17,0.27,cnd:pre:3s;,1,3,0,8,6,CVCVCVVC,CVCVCV,1,4,0,0,lO-Z¡-RE,3,CV-CV-CV,tiaregol,ER¡ZOl,lo-ge-rait,VER,100.0,14.0,1.8,,loger,1
50,longerions,l¤Z¡Rj¤,longer,VER,,,2.98,34.32,0.0,0.07,cnd:pre:1p;,1,1,0,10,7,CVCCVCVVCC,CVCVCYV,0,1,0,0,l¤-Z¡-Rj¤,3,CV-CV-CYV,snoiregnol,¤jR¡Z¤l,lon-ge-rions,VER,80.0,26.0,2.35,2.5,longer,1
51,logerions,lOZ¡Rj¤,loger,VER,,,18.36,26.42,0.0,0.07,cnd:pre:1p;,1,1,0,9,7,CVCVCVVCC,CVCVCYV,0,1,0,0,lO-Z¡-Rj¤,3,CV-CV-CYV,snoiregol,¤jR¡ZOl,lo-ge-rions,VER,100.0,14.0,2.35,2.65,loger,1
52,longeront,l¤Z¡R¤,longer,VER,,,2.98,34.32,0.01,0.2,ind:fut:3p;,1,4,0,9,6,CVCCVCVCC,CVCVCV,1,4,0,4,l¤-Z¡-R¤,3,CV-CV-CV,tnoregnol,¤R¡Z¤l,lon-ge-ront,VER,80.0,26.0,1.8,,longer,1
53,logeront,lOZ¡R¤,loger,VER,,,18.36,26.42,0.29,0.14,ind:fut:3p;,1,2,0,8,6,CVCVCVCC,CVCVCV,1,4,0,0,lO-Z¡-R¤,3,CV-CV-CV,tnoregol,¤R¡ZOl,lo-ge-ront,VER,100.0,14.0,1.9,,loger,1
54,mains,m5,main,NOM,f,p,499.6,1229.39,212.97,440.68,,1,4,0,5,2,CVVCC,CV,10,26,0,2,m5,1,CV,sniam,5m,mains,NOM,95.0,20.0,1.15,1.0,main,1
55,mets,mE,mettre,VER,,,1004.83,1083.72,151.83,33.72,imp:pre:2s;ind:pre:1s;ind:pre:2s;,2,8,0,4,2,CVCC,CV,13,29,4,2,mE,1,CV,stem,Em,mets,"NOM,VER",100.0,25.0,1.1,1.0,mettre,1
56,ment,m@,mentir,VER,,,185.16,52.03,24.08,5.81,ind:pre:3s;,1,4,0,4,2,CVCC,CV,12,28,0,2,m@,1,CV,tnem,@m,ment,VER,95.0,22.0,1.15,1.0,mentir,1
57,me,m¡,me,PRO:per,,s,4929.44,4264.32,4929.44,4264.32,,2,2,1,2,2,CV,CV,14,18,2,2,m¡,1,CV,em,¡m,me,"NOM,PRO:per",,,1.0,,me-:per,2
58,matins,mat5,matin,NOM,m,p,275.01,396.76,9.98,19.86,,1,5,0,6,4,CVCVCC,CVCV,9,20,0,4,ma-t5,2,CV-CV,snitam,5tam,ma-tins,NOM,100.0,22.0,1.3,1.0,matin,1
59,matait,matE,mater,VER,,,17.27,14.93,0.64,0.61,ind:imp:3s;,1,3,0,6,4,CVCVVC,CVCV,4,26,0,0,ma-tE,2,CV-CV,tiatam,Etam,ma-tait,VER,86.0,22.0,1.8,1.0,mater,1
60,minces,m5s,mince,ADJ,,p,16.27,78.51,2.17,18.18,,1,3,0,6,3,CVCCVC,CVC,4,13,0,3,m5s,1,CVC,secnim,s5m,min-ces,ADJ,96.0,30.0,1.7,1.2,mince,1
61,messes,mEs,messe,NOM,f,p,18.36,35.68,2.22,2.97,,1,3,0,6,3,CVCCVC,CVC,5,24,0,3,mEs,1,CVC,sessem,sEm,mes-ses,NOM,100.0,23.0,1.65,1.0,messe,1
62,mondes,m¤d,monde,NOM,m,p,830.72,741.35,7.11,8.92,,1,2,0,6,3,CVCCVC,CVC,9,12,0,3,m¤d,1,CVC,sednom,d¤m,mon-des,NOM,96.0,29.0,1.35,1.1,monde,1
63,modes,mOd,mode,NOM,,p,31.67,51.69,0.89,4.73,,1,4,0,5,3,CVCVC,CVC,7,14,0,3,mOd,1,CVC,sedom,dOm,mo-des,NOM,100.0,26.0,1.4,1.2,mode,1
64,nain,n5,nain,NOM,m,s,13.9,8.99,9.08,6.69,,2,4,1,4,2,CVVC,CV,10,26,4,2,n5,1,CV,nian,5n,nain,"ADJ,NOM",100.0,29.0,1.35,1.0,nain,1
65,nat,nE,natre,VER,,,116.11,119.32,5.47,6.82,ind:pre:3s;,1,3,0,4,2,CVVC,CV,2,29,0,2,nE,1,CV,tan,En,nat,VER,100.0,18.0,1.9,1.0,natre,1
66,pins,p5,pin,NOM,m,p,5.06,26.62,2.27,17.09,,1,9,0,4,2,CVCC,CV,14,26,0,2,p5,1,CV,snip,5p,pins,NOM,,,1.0,1.0,pin,1
67,paix,pE,paix,NOM,f,,144.86,103.72,144.86,103.72,,1,10,1,4,2,CVVC,CV,7,29,4,2,pE,1,CV,xiap,Ep,paix,NOM,95.0,20.0,1.65,1.0,paix,1
68,parrain,paR5,parrain,NOM,m,s,10.37,7.64,9.76,7.5,,1,2,1,7,4,CVCCVVC,CVCV,0,17,7,4,pa-R5,2,CV-CV,niarrap,5Rap,par-rain,NOM,92.0,28.0,1.85,1.0,parrain,1
69,parat,paRE,paratre,VER,,,122.14,448.11,81.22,113.92,ind:pre:3s;,1,7,0,6,4,CVCVVC,CVCV,3,30,0,4,pa-RE,2,CV-CV,tarap,ERap,pa-rat,VER,96.0,27.0,1.85,1.0,paratre,1
70,peintes,p5t,peindre,VER,f,p,36.05,80.27,0.61,5.95,par:pas;,2,7,0,7,3,CVVCCVC,CVC,5,16,0,3,p5t,1,CVC,setniep,t5p,pein-tes,"VER,ADJ",100.0,30.0,1.45,1.0,peindre,1
71,ptes,pEt,pter,VER,,,31.66,16.28,0.85,0.27,ind:pre:2s;,1,3,0,5,3,CVCVC,CVC,7,32,0,0,pEt,1,CVC,setp,tEp,p-tes,VER,91.0,23.0,1.55,1.0,pter,1
72,pleins,pl5,plein,ADJ,m,p,208.75,370.41,13.46,40.95,,2,11,0,6,3,CCVVCC,CCV,2,12,0,3,pl5,1,CCV,snielp,5lp,pleins,"ADJ,NOM",100.0,24.0,1.75,1.2,plein,1
73,plat,plE,plaire,VER,,,607.21,139.8,499.91,55.0,ind:pre:3s;,1,6,0,5,3,CCVVC,CCV,1,14,0,3,plE,1,CCV,talp,Elp,plat,VER,95.0,20.0,1.85,1.0,plaire,1
74,princes,pR5s,prince,NOM,m,p,98.9,101.22,5.29,11.08,,1,2,0,7,4,CCVCCVC,CCVC,1,4,0,4,pR5s,1,CCVC,secnirp,s5Rp,prin-ces,NOM,88.0,26.0,1.75,1.7,prince,1
75,presses,pREs,presser,VER,,,52.28,71.01,0.64,0.07,ind:pre:2s;sub:pre:2s;,2,4,0,7,4,CCVCCVC,CCVC,6,12,0,4,pREs,1,CCVC,sesserp,sERp,pres-ses,"NOM,VER",100.0,23.0,1.5,1.0,presser,1
76,rampa,R@pa,ramper,VER,,,11.55,19.39,0.02,1.08,ind:pas:3s;,1,1,0,5,4,CVCCV,CVCV,5,12,0,0,R@-pa,2,CV-CV,apmar,ap@R,ram-pa,VER,100.0,26.0,1.65,1.2,ramper,1
77,repas,R¡pa,repas,NOM,m,,48.53,76.62,48.53,76.62,,1,1,1,5,4,CVCVC,CVCV,2,9,5,4,R¡-pa,2,CV-CV,saper,ap¡R,re-pas,NOM,100.0,20.0,1.75,1.4,repas,1
78,remparts,R@paR,rempart,NOM,m,p,2.95,20.0,1.39,11.69,,1,2,0,8,5,CVCCVCCC,CVCVC,0,5,0,5,R@-paR,2,CV-CVC,strapmer,Rap@R,rem-parts,NOM,93.0,15.0,2.2,1.65,rempart,1
79,repart,R¡paR,repartir,VER,,,58.84,87.57,8.08,8.11,ind:pre:3s;,1,2,0,6,5,CVCVCC,CVCVC,4,8,0,0,R¡-paR,2,CV-CVC,traper,Rap¡R,re-part,VER,95.0,22.0,1.55,1.35,repartir,1
80,remplt,R@pli,remplir,VER,,,61.21,81.42,0.0,0.2,sub:imp:3s;,1,10,0,7,5,CVCCCVC,CVCCV,1,1,0,5,R@-pli,2,CV-CCV,tlpmer,ilp@R,rem-plt,VER,100.0,20.0,2.15,1.8,remplir,1
81,replies,R¡pli,replier,VER,,,6.78,33.18,0.02,0.14,ind:pre:2s;,1,5,0,7,5,CVCCVVC,CVCCV,4,4,0,5,R¡-pli,2,CV-CCV,seilper,ilp¡R,re-plies,VER,95.0,21.0,1.6,1.75,replier,1
82,rempliras,R@pliRa,remplir,VER,,,61.21,81.42,0.16,0.0,ind:fut:2s;,1,2,0,9,7,CVCCCVCVC,CVCCVCV,1,4,0,0,R@-pli-Ra,3,CV-CCV-CV,sarilpmer,aRilp@R,rem-pli-ras,VER,100.0,20.0,2.3,1.7,remplir,1
83,repliera,R¡pliRa,replier,VER,,,6.78,33.18,0.02,0.0,ind:fut:3s;,1,1,0,8,7,CVCCVVCV,CVCCVCV,0,5,0,0,R¡-pli-Ra,3,CV-CCV-CV,areilper,aRilp¡R,re-plie-ra,VER,95.0,21.0,1.95,1.7,replier,1
84,remplirait,R@pliRE,remplir,VER,,,61.21,81.42,0.2,0.74,cnd:pre:3s;,1,4,0,10,7,CVCCCVCVVC,CVCCVCV,1,5,0,0,R@-pli-RE,3,CV-CCV-CV,tiarilpmer,ERilp@R,rem-pli-rait,VER,100.0,20.0,2.1,1.65,remplir,1
85,replierai,R¡pliRE,replier,VER,,,6.78,33.18,0.02,0.0,ind:fut:1s;,1,1,0,9,7,CVCCVVCVV,CVCCVCV,0,5,0,0,R¡-pli-RE,3,CV-CCV-CV,iareilper,ERilp¡R,re-plie-rai,VER,95.0,21.0,2.3,1.7,replier,1
86,remplirez,R@pliRe,remplir,VER,,,61.21,81.42,0.17,0.0,ind:fut:2p;,1,1,0,9,7,CVCCCVCVC,CVCCVCV,0,5,0,0,R@-pli-Re,3,CV-CCV-CV,zerilpmer,eRilp@R,rem-pli-rez,VER,100.0,20.0,2.15,1.7,remplir,1
87,replierez,R¡pliRe,replier,VER,,,6.78,33.18,0.0,0.07,ind:fut:2p;,1,1,0,9,7,CVCCVVCVC,CVCCVCV,0,5,0,0,R¡-pli-Re,3,CV-CCV-CV,zereilper,eRilp¡R,re-plie-rez,VER,95.0,21.0,2.55,1.7,replier,1
88,rentrait,R@tRE,rentrer,VER,,,532.51,279.93,6.21,17.57,ind:imp:3s;ind:pre:3s;,2,6,0,8,5,CVCCCVVC,CVCCV,4,7,0,0,R@-tRE,2,CV-CCV,tiartner,ERt@R,ren-trait,VER,95.0,24.0,1.65,1.2,rentrer,1
89,retrait,R¡tRE,retrait,NOM,m,s,4.87,13.72,4.63,13.04,,2,4,1,7,5,CVCCVVC,CVCCV,0,2,7,5,R¡-tRE,2,CV-CCV,tiarter,ERt¡R,re-trait,"VER,NOM",100.0,20.0,1.75,1.6,retrait,1
90,renverras,R@vERa,renvoyer,VER,,,59.22,42.7,0.16,0.0,ind:fut:2s;,1,2,0,9,6,CVCCVCCVC,CVCVCV,1,5,0,0,R@-vE-Ra,3,CV-CV-CV,sarrevner,aREv@R,ren-ver-ras,VER,100.0,29.0,1.75,1.65,renvoyer,1
91,reverras,R¡vERa,revoir,VER,,,162.84,139.46,5.3,0.95,ind:fut:2s;,1,2,0,8,6,CVCVCCVC,CVCVCV,1,7,0,0,R¡-vE-Ra,3,CV-CV-CV,sarrever,aREv¡R,re-ver-ras,VER,100.0,23.0,1.95,1.55,revoir,1
92,renverrait,R@vERE,renvoyer,VER,,,59.22,42.7,0.27,0.2,cnd:pre:3s;,1,4,0,10,6,CVCCVCCVVC,CVCVCV,2,5,0,0,R@-vE-RE,3,CV-CV-CV,tiarrevner,EREv@R,ren-ver-rait,VER,100.0,29.0,1.75,1.65,renvoyer,1
93,reverrait,R¡vERE,revoir,VER,,,162.84,139.46,1.09,3.38,cnd:pre:3s;,1,4,0,9,6,CVCVCCVVC,CVCVCV,2,8,0,0,R¡-vE-RE,3,CV-CV-CV,tiarrever,EREv¡R,re-ver-rait,VER,100.0,23.0,1.8,1.5,revoir,1
94,renverrez,R@vERe,renvoyer,VER,,,59.22,42.7,0.09,0.0,ind:fut:2p;,1,1,0,9,6,CVCCVCCVC,CVCVCV,1,5,0,0,R@-vE-Re,3,CV-CV-CV,zerrevner,eREv@R,ren-ver-rez,VER,100.0,29.0,2.1,1.65,renvoyer,1
95,reverrez,R¡vERe,revoir,VER,,,162.84,139.46,2.74,0.47,ind:fut:2p;,1,1,0,8,6,CVCVCCVC,CVCVCV,1,7,0,0,R¡-vE-Re,3,CV-CV-CV,zerrever,eREv¡R,re-ver-rez,VER,100.0,23.0,2.0,1.55,revoir,1
96,renvoies,R@vwa,renvoyer,VER,,,59.22,42.7,0.67,0.14,ind:pre:2s;,1,5,0,8,5,CVCCVVVC,CVCYV,0,1,0,5,R@-vwa,2,CV-CYV,seiovner,awv@R,ren-voies,VER,100.0,29.0,1.9,1.9,renvoyer,1
97,revoit,R¡vwa,revoir,VER,,,162.84,139.46,5.92,5.81,ind:pre:3s;,1,5,0,6,5,CVCVVC,CVCYV,5,5,0,0,R¡-vwa,2,CV-CYV,tiover,awv¡R,re-voit,VER,100.0,23.0,1.7,1.7,revoir,1
98,renvoyait,R@vwajE,renvoyer,VER,,,59.22,42.7,0.53,5.61,ind:imp:3s;,1,4,0,9,7,CVCCVVVVC,CVCYVYV,2,5,0,0,R@-vwa-jE,3,CV-CYV-YV,tiayovner,Ejawv@R,ren-voyait,VER,100.0,29.0,1.85,1.65,renvoyer,1
99,revoyait,R¡vwajE,revoir,VER,,,162.84,139.46,0.4,9.73,ind:imp:3s;,1,3,0,8,7,CVCVVVVC,CVCYVYV,3,4,0,0,R¡-vwa-jE,3,CV-CYV-YV,tiayover,Ejawv¡R,re-voyait,VER,100.0,23.0,1.8,1.8,revoir,1
100,renvoyant,R@vwaj@,renvoyer,VER,,,59.22,42.7,0.09,1.28,par:pre;,1,1,0,9,7,CVCCVVVCC,CVCYVYV,1,5,0,0,R@-vwa-j@,3,CV-CYV-YV,tnayovner,@jawv@R,ren-voyant,VER,100.0,29.0,2.1,1.7,renvoyer,1
101,revoyant,R¡vwaj@,revoir,VER,,,162.84,139.46,0.39,1.82,par:pre;,1,1,0,8,7,CVCVVVCC,CVCYVYV,1,4,0,0,R¡-vwa-j@,3,CV-CYV-YV,tnayover,@jawv¡R,re-voyant,VER,100.0,23.0,1.9,1.8,revoir,1
102,renvoys,R@vwaje,renvoyer,VER,m,p,59.22,42.7,2.04,1.69,par:pas;,1,6,0,8,7,CVCCVVVC,CVCYVYV,1,5,0,6,R@-vwa-je,3,CV-CYV-YV,syovner,ejawv@R,ren-voys,VER,100.0,29.0,1.85,1.65,renvoyer,1
103,revoyiez,R¡vwaje,revoir,VER,,,162.84,139.46,0.11,0.0,ind:imp:2p;sub:pre:2p;,1,2,0,8,7,CVCVVVVC,CVCYVYV,0,4,0,0,R¡-vwa-je,3,CV-CYV-YV,zeiyover,ejawv¡R,re-voyiez,VER,100.0,23.0,2.35,1.8,revoir,1
104,revinrent,R¡v5R,revenir,VER,,,618.62,490.54,0.47,7.64,ind:pas:3p;,1,1,0,9,5,CVCVCCVCC,CVCVC,2,5,0,0,R¡-v5R,2,CV-CVC,tnerniver,R5v¡R,re-vin-rent,VER,100.0,27.0,1.85,1.65,revenir,1
