vowel,freq_f1,amp_f1,freq_f2,amp_f2,freq_f3,amp_f3,freq_h1,amp_h1,freq_h2,amp_h2,amp_h3,amp_p0,freq_p0,
ɑ̃,764,48.11,1078,41.36,3603,9.31,215,53.03,431,43.91,48.11,53.03,215,1
ɑ̃,288,51.98,824,41.8,2121,6.39,215,51.98,409,35.98,41.8,51.98,215,1
ɑ̃,251,49.57,723,40.81,2105,4.71,215,49.57,431,34.26,40.81,49.57,215,1
ɑ̃,661,35.01,1573,7.52,2315,-2.66,215,44.61,452,27.22,35.01,44.61,215,1
ɛ̃,623,43.15,1381,31.62,3388,22.05,215,54.48,431,43.15,42.22,54.48,215,1
ɛ̃,774,43.62,1355,38.1,3459,11.38,215,53.99,431,42.21,43.62,53.99,215,1
ɛ̃,776,42.49,1303,35.87,3503,23.33,215,52.56,431,39.33,41.27,52.56,215,1
ɛ̃,874,40.18,1456,31.24,3580,25.66,215,49.5,452,36.79,38.53,49.5,215,1
ɛ̃,769,33.23,1365,30.84,3503,19.88,215,44.14,431,31.19,33.23,44.14,215,1
ɔ̃,540,43.06,1477,14.61,3464,5.13,215,52.61,452,43.06,38.76,52.61,215,1
ɔ̃,314,52.82,1148,26.9,2161,10.25,215,52.82,431,42.42,33.62,52.82,215,1
ɔ̃,296,53.13,1132,28.3,2264,9.39,215,53.13,431,41.89,30.71,53.13,215,1
ɔ̃,292,53.55,1135,27.1,2161,9.57,215,53.55,452,40.44,34.79,53.55,215,1
ɔ̃,317,53.17,850,38.22,2273,6.98,215,53.17,452,39.69,38.22,53.17,215,1
ɑ̃,545,49.98,1283,34.19,3316,12.91,215,51.98,431,49.98,42.99,51.98,215,1
ɑ̃,781,46.23,1051,44.16,3490,18.82,215,52.05,431,44.18,46.23,52.05,215,1
ɑ̃,819,45.33,1134,32.26,3550,16.01,215,51,431,39.81,44.48,51,215,1
ɑ̃,411,48.8,1099,28.75,2364,3.62,215,48.8,431,35.15,40.45,48.8,215,1
ɑ̃,797,38.49,1695,7.01,3583,15.04,194,44.18,388,30.88,35.36,44.18,194,1
ɔ̃,344,53.1,1267,29.38,2220,6,237,53.1,452,45.11,30.78,53.1,237,1
ɔ̃,331,53.59,1279,29.63,1960,13.89,215,53.59,452,45.84,30.28,53.59,215,1
ɔ̃,316,53.79,1179,26.32,2098,7.96,237,53.79,452,44.19,29.02,53.79,237,1
ɔ̃,300,50.23,1256,21.84,2518,0.44,237,50.23,452,39.14,24.93,50.23,237,1
ɔ̃,301,44.41,1441,13,2317,3.12,215,44.41,345,33.86,16.72,44.41,215,1
ɔ̃,334,56.1,1223,28.95,1655,19.27,215,56.1,431,45.02,38.8,56.1,215,1
ɔ̃,291,55.94,1410,23.22,1898,14.15,215,55.94,431,44.37,33.51,55.94,215,1
ɔ̃,273,54.81,1161,24.23,2110,9.54,215,54.81,431,42.5,28.71,54.81,215,1
ɔ̃,271,51.18,1206,14.46,2164,3.65,237,51.18,474,35.97,21.09,51.18,237,1
ɔ̃,264,48.35,1481,11.93,2602,-2.66,258,48.35,495,26.89,11.67,48.35,258,1
ɛ̃,265,50.73,2703,14.8,3507,14.57,215,50.73,409,38.33,19.77,50.73,215,1
ɛ̃,425,54,2319,24.46,3155,23.45,215,53.35,431,54,28.27,53.35,215,1
ɛ̃,679,43.92,1676,28,3206,20.6,215,51.25,431,45.48,43.92,51.25,215,1
ɛ̃,833,38.99,1411,29.81,3424,16.62,215,49.65,409,36.24,34.43,49.65,215,1
ɛ̃,931,28.27,1412,25,3499,15.63,194,44.93,323,33.63,24.42,44.93,194,1
ɛ̃,694,43.82,1302,36.34,3331,12.38,215,52.31,431,45.9,43.82,52.31,215,1
ɛ̃,794,41.97,1301,36.85,3440,16.59,215,53.24,431,40.14,40.75,53.24,215,1
ɛ̃,226,52.51,1091,32.28,2224,7.39,215,52.51,409,33.03,33.09,52.51,215,1
ɛ̃,214,50.09,1178,29.05,2106,4.86,194,50.09,409,32.79,25.81,50.09,194,1
ɛ̃,900,26,1381,17.59,3742,8.16,86,21.14,194,45.68,33.56,45.68,194,1
ɑ̃,439,50.57,1345,27.27,3272,15.06,215,51.12,431,50.57,38.1,51.12,215,1
ɑ̃,695,43.9,1203,35.17,3527,6.34,215,52.28,409,41.86,43.9,52.28,215,1
ɑ̃,468,42.17,1091,29.09,2615,-3.69,215,51.49,409,38.34,42.17,51.49,215,1
ɑ̃,550,39.48,815,38.11,2585,1.74,194,51.43,409,36.78,39.48,51.43,194,1
ɑ̃,527,31.65,1329,15.75,2403,0.13,194,50.7,388,30.06,31.65,50.7,194,1
ɛ̃,638,48.29,1491,34.3,3299,14.24,237,53.3,495,48.29,43.64,53.3,237,1
ɛ̃,780,44.44,1394,36.56,3607,7.94,237,53.21,474,43.48,44.44,53.21,237,1
ɛ̃,713,39.83,1213,33.3,3708,8.39,237,52.22,474,38.75,39.83,52.22,237,1
ɛ̃,830,37.59,1212,32.95,3969,9.46,237,49.96,452,35.83,37.59,49.96,237,1
ɛ̃,993,34.85,1655,24.22,3587,20.52,215,45.38,431,30.3,33.31,45.38,215,1
ɔ̃,360,50.89,1061,29.11,1949,11.68,215,50.89,431,44.43,34.69,50.89,215,1
ɔ̃,506,41.26,1335,15.64,2907,-0.33,215,51.69,431,41.26,39.77,51.69,215,1
ɔ̃,269,50.76,1170,24.04,2386,4.78,215,50.76,431,37.2,26.42,50.76,215,1
ɔ̃,255,49.01,1276,20.81,2266,9.01,215,49.01,431,33.7,22.93,49.01,215,1
ɔ̃,254,45.87,1255,17.01,2237,5.63,215,45.87,409,28.6,22.61,45.87,215,1
ɛ̃,504,44.82,1454,25.81,3294,10.5,215,50.82,431,44.82,35.73,50.82,215,1
ɛ̃,744,35.83,1309,27.46,3575,7.04,215,51.59,409,35.04,35.83,51.59,215,1
ɛ̃,248,51.02,1191,27.4,2610,-3.13,215,51.02,409,30.94,29.99,51.02,215,1
ɛ̃,241,50.42,997,29.32,2075,0.91,215,50.42,431,29.72,29.03,50.42,215,1
ɛ̃,234,47.59,1099,21.25,2351,-0.5,215,47.59,452,21.15,18.68,47.59,215,1
ɛ̃,369,52.56,1290,24.08,3273,19.93,215,52.56,431,47.85,32.54,52.56,215,1
ɛ̃,641,45.05,1281,34.76,3333,18.28,215,54.59,431,45.05,43.26,54.59,215,1
